Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Warg-slayer (advanced),10,Fortitude,Defeat Wargs in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Worm-slayer,5,-,Defeat Worms in Moria (100),Worm-scourge,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Worm-slayer (advanced),10,Valour,Defeat Worms in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Flaming Deeps,10,Tolerance,Find 7 points of interest in The Flaming Deeps,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Foundations of Stone,10,Valour,Find 5 points of interest in The Foundations of Stone,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Water-works,10,Tolerance,Find 10 points of interest in The Water-works,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of the Flaming Deeps,5,Empathy,Complete quests within Flaming Deeps (15),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of the Foundations of Stone,5,Compassion,Complete quests within Foundations of Stone (10),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of the Water-works,5,Innocence,Complete quests within Water-works (15),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Mirror in the Mire,,,"The Water-works – Moria Mirror [15.1 S, 114.8 W]",,54,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Reflection of Flame,,,"The Flaming Deeps – Moria Mirror [15.0 S, 107.8 W]",,57,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,A Glimmer of Hope,,,"Foundations of Stone – Moria Mirror [12.0 S, 101.5 W]",,59,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Flames,,,"Anazarmekhem – Plaque [13.3 S, 108.1 W] – quest 5",,57,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Walls,,,Below answer from previous riddle – Locker – quest 6,,56,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Discovering Adventures in Zelem-melek,-,Zeal,Find the orc camps and complete quests,Explorer and Adventurer,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Nud-melek,5,Loyalty,Find 7 points of interest in Nud-melek,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Great Delving,5,Honesty,Find 8 points of interest in The Great Delving,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Redhorn Lodes,10,Wisdom,Find 8 points of interest in The Redhorn Lodes,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Silvertine Lodes,10,Fidelity,Find 4 points of interest in The Silvertine Lodes,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Zelem-melek,5,Honesty,Find 8 points of interest in Zelem-melek,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of Nud-melek,5,Fidelity,Complete quests within Nud-melek (18),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of the Great Delving,5,Charity,Complete quests within The Great Delving (15),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,-,- Also for Quests of the Great Delving,-,Innocence,,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of the Redhorn Lodes,5,Innocence,Complete quests within Redhorn Lodes (15),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of the Silvertine Lodes,5,Empathy,Complete quests within Silvertine Lodes (15),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of Zelem-melek,5,Innocence,Complete quests within Zelem-melek (20),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Lightning the Way,,,"The Great Delving – Moria Mirror [7.0 S, 112.9 W]",,51,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Reflections of Rails,,,"The Silvertine Lodes – Moria Mirror [11.3 S, 112.5 W]",,53,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Reflecting on the Past,,,"Zelem-melek – Moria Mirror [7.7 S, 105.3 W]",,55,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Reflector of the Redhorn,,,"Redhorn Lodes – Moria Mirror [12.5 S, 103.2 W]",,56,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Reflections of Stone Trees,,,"Nud-melek – Moria Mirror [5.5 S, 98.8 W]",,58,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Library,,,"Katub-zahar – Flageirr's Papers [7.0 S, 111.2 W] – quest 1",,51,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Old City,,,"Old Silvertine City – Plaque [11.6 S, 111.0 W] – quest 2",,54,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Stone,,,"Old Silvertine City – Plaque [12.1 S, 111.1 W] – quest 3",,55,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Tomb,,,"The Twenty-first Hall – Plaque [5.9 S, 105.5 W] – quest 4",,55,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,E,A Deep Well [Hidden],5,-,"Jump down the well at the Crossroads [5.1 S, 112.1 W]",Well Traveled,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Eastern Durin's Way,5,Fidelity,Find 8 points of interest in Eastern Durin's Way,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Cliffs of Zirakzigil,5,Confidence,Find 3 points of interest in The Cliffs of Zirakzigil,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Western Durin's Way,5,Idealism,Find 7 points of interest in Western Durin's Way,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of Durin's Way,5,Idealism,Complete quests within Durin's Way (15),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Quests of Dimril Dale,5,Charity,Complete quests within Dimril Dale (10),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,A Light in the Garden,53,Solo,"Durin's Way – Moria Mirror [3.6 S, 109.1 W]",,,
Rhovanion,Moria,Iron Garrison Guards/Miners,Q,Riddles in the Sunshine,58,Solo,"Dimril Dale – Plaque [11.6 S, 79.8 W] – quest 7",,,
Rhovanion,Southern Mirkwood,Malledrim,M,Deeds of Mirkwood,-,-,Complete 2 meta deeds and 1 quest deed in Southern Mirkwood,,,
Rhovanion,Southern Mirkwood,Malledrim,M,Explorer of Mirkwood,-,-,Complete 3 explorer deeds in Southern Mirkwood,,,
Rhovanion,Southern Mirkwood,Malledrim,M,Slayer of Mirkwood,-,-,Complete 6 slayer deeds in Southern Mirkwood,,,
Rhovanion,Southern Mirkwood,Malledrim,E,Evil Stongholds of Mirkwood,15,Valour,Find 6 stongholds in Southern Mirkwood,,,
Rhovanion,Southern Mirkwood,Malledrim,E,Mirkwood Tower Climber [Hidden],5,-,Find and climb towers of Southern Mirkwood,Master Ascender,,
Rhovanion,Southern Mirkwood,Malledrim,E,The Wilds of Mirkwood,5,Wisdom,Find 7 points of interest in the wilds of Southern Mirkwood,,,
Rhovanion,Southern Mirkwood,Malledrim,E,Treasure of Southern Mirkwood,10,Mercy,Find 12 Treasure Caches in Mirkwood (lvl 90),Treasure Seeker of Southern Mirkwood,,
Rhovanion,Southern Mirkwood,Malledrim,E,Uncovering the Ruins of Mirkwood,5,Idealism,Find 5 ruins in Southern Mirkwood,,,
Rhovanion,Southern Mirkwood,Malledrim,L,Mirkwood's Roving Enemies,5,Tolerance,Complete 4 Roving Threats quests (lvl 100),Roving Defender of Southern Mirkwood,,
Rhovanion,Southern Mirkwood,Malledrim,L,The Siege of Mirkwood,-,-,Auto-bestowed if own Southern Mirkwood and reached level 60,Called by the Golden Host,,
Rhovanion,Southern Mirkwood,Malledrim,R,Into the Black and Twisted Forest,10,Loyalty,Complete quests within Southern Mirkwood (10),,,
Rhovanion,Southern Mirkwood,Malledrim,R,Into the Black and Twisted Forest (advanced),15,Honesty,Complete quests within Southern Mirkwood (30),,,
Rhovanion,Southern Mirkwood,Malledrim,R,Into the Black and Twisted Forest (intermediate),10,Fortitude,Complete quests within Southern Mirkwood (20),,,
Rhovanion,Southern Mirkwood,Malledrim,Q,Mirkwood Landing,10,-,Complete quests within Mirkwood Landing instance,,,
Rhovanion,Southern Mirkwood,Malledrim,S,Beast-slayer,5,-,Defeat Beasts in Southern Mirkwood (100),Hunter of Dark Beasts,,
Rhovanion,Southern Mirkwood,Malledrim,S,Beast-slayer (advanced),10,Determination,Defeat Beasts in Southern Mirkwood (200),Predator from Prey,,
Rhovanion,Southern Mirkwood,Malledrim,S,Dead-slayer,5,-,Defeat Shades or Wights in Southern Mirkwood (100),Arbitrator of the Dead,,
Rhovanion,Southern Mirkwood,Malledrim,S,Dead-slayer (advanced),10,Fidelity,Defeat Shades or Wights in Southern Mirkwood (200),Ferngoth,,
Rhovanion,Southern Mirkwood,Malledrim,S,Headcount,5,-,Defeat 100 enemies during the Mirkwood Landing,,,
Rhovanion,Southern Mirkwood,Malledrim,S,Orc and Uruk-slayer,5,-,Defeat Orcs or Uruks in Southern Mirkwood (100),Illuminator of Mirkwood,,
Rhovanion,Southern Mirkwood,Malledrim,S,Orc and Uruk-slayer (advanced),10,Compassion,Defeat Orcs or Uruks in Southern Mirkwood (200),Urugdagnir,,
Rhovanion,Southern Mirkwood,Malledrim,S,Sorcerer-slayer,5,-,Defeat Sorcerers in Southern Mirkwood (100),Honorary Malledrim,,
Rhovanion,Southern Mirkwood,Malledrim,S,Sorcerer-slayer (advanced),10,Justice,Defeat Sorcerers in Southern Mirkwood (200),Champion of the Malledrim,,
Rhovanion,Southern Mirkwood,Malledrim,S,Spider-slayer,5,-,Defeat Spiders in Southern Mirkwood (100),Web-stinger,,
Rhovanion,Southern Mirkwood,Malledrim,S,Spider-slayer (advanced),10,Tolerance,Defeat Spiders in Southern Mirkwood (200),Gwirist,,
Rhovanion,Southern Mirkwood,Malledrim,S,Warg-slayer,5,-,Defeat Wargs in Southern Mirkwood (100),Deflector of Gnashing Teeth,,
Rhovanion,Southern Mirkwood,Malledrim,S,Warg-slayer (advanced),10,Empathy,Defeat Wargs in Southern Mirkwood (200),Gordeleron,,
Rhovanion,Southern Mirkwood,Malledrim,Q,Expedition: Seeing the Fallen,,,"Echad Sirion – Agorin, during Vol 2 Book 9 Foreword",,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Lost in the Fray,,,"Echad Sirion – Agorin, during Vol 2 Book 9 Foreword",,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> A Daring Rescue,,,"Echad Sirion – Agorin, during Vol 2 Book 9 Foreword",,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,Expedition: Disrupting Communication,,,"Echad Sirion – Ivorel, during Vol 2 Book 9 Foreword",,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Bridging the Gap,,,"Echad Sirion – Agorin, during Vol 2 Book 9 Foreword",,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,Foreword: Assault the Gates,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Leaderless They Fall,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Out of Supply,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Barring the Gate,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Engines of War,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Feral Flankers,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,-> Hilltop Assault,,,Echad Sirion – Fuirgam,,61,Solo
Rhovanion,Southern Mirkwood,Malledrim,Q,"Helchurth, the Eternal Shadow",,,Ost Galadh - Gellamiel,,100,Small Fellow
Rhovanion,Southern Mirkwood,Malledrim,Q,"Thorang, the Spirit Armour",,,Ost Galadh - Gellamiel,,100,Small Fellow
Rhovanion,Southern Mirkwood,Malledrim,Q,"Ghamgur, the Giant Dread",,,Ost Galadh - Gellamiel,,100,Fellow
Rhovanion,Southern Mirkwood,Malledrim,Q,"Woe-weaver, the Silent Fear",,,Ost Galadh - Gellamiel,,100,Fellow
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,M,Deeds of the Great River,-,-,Complete 3 meta deeds in Great River,,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,M,Quests of the Great River,10,Justice,Complete 7 quest deeds in Great River,Hero of the Anduin,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,M,Explorer of the Great River,10,Zeal,Complete 7 explorer deeds in Great River,Traveller of the Anduin,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,M,Slayer of the Great River,-,-,Complete 7 slayers deeds in Great River,,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Ancient Ruins of the Limlight,10,-,Find 6 ruins in Limlight Gorge,,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Brown Lands Explorer,5,Compassion,Find 5 points of interest in Brown Lands,Explorer of the Brown Lands,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Discovery: Roots of Fangorn (req for instance),10,-,"Find the entrance to Roots of Fangorn [28.7 S, 72.2 W]",,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Eorlsmead Explorer,5,Honour,Find 5 points of interest in Eorlsmead,Explorer of Eorlsmead,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Limlight Gorge Explorer,5,Honesty,Find 7 points of interest in Limlight Gorge,Explorer of the Limlight Gorge,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Parth Celebrant Explorer,5,Idealism,Find 5 points of interest in Parth Celebrant,Explorer of Parth Celebrant,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Rushgore Explorer,5,Tolerance,Find 6 points of interest in Rushgore,Explorer of the Rushgore,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Stangard Explorer,5,-,Find 20 points of interest in Stangard,the Trespasser,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Thinglad Explorer,5,Innocence,Find 5 points of interest in Thinglad,Explorer of Thinglad,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,E,Wailing Hills Explorer,5,Mercy,Find 7 points of interest in Wailing Hills,Explorer of the Wailing Hills,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,L,The Spirits of the Limlight,10,-,Speak with the Spirits of Limlight Gorge at night,Chronicler of Twilgiht,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of Brown Lands,10,Fortitude,Complete quests within Brown Lands (19),Defender of the Brown Lands,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of Eorlsmead,10,Discipline,Complete quests within Eorlsmead (20),Hero of Eorlsmead,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of Parth Celebrant,10,Confidence,Complete quests within Parth Celebrant (20),Avenger of Oaths Broken,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of the Limlight Gorge,10,Determination,Complete quests within Limlight Gorge (20),Warrior of the Limlight Gorge,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of the Rushgore,10,Patience,Complete quests within Rushgore (20),Defender of the Rushgore,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of the Wailing Hills,10,Honesty,Complete quests within Wailing Hills (20),Friend of the Eagles,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,R,Quests of Thinglad,10,Fidelity,Complete quests within Thinglad (20),Sentinal of Thinglad,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Beast Slayer,5,-,Defeat Beasts in Great River (100),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Beast Slayer (advanced),10,Tolerance,Defeat Beasts in Great River (200),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Brigand-slayer,5,-,Defeat Brigands in Great River (100),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Brigand-slayer (advanced),10,Wisdom,Defeat Brigands in Great River (200),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Easterling-slayer,5,-,Defeat Easterlings in Great River (100),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Easterling-slayer (advanced),10,Valour,Defeat Easterlings in Great River (200),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Orc Slayer,5,-,Defeat Orcs in Great River (100),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Orc Slayer (advanced),10,Loyalty,Defeat Orcs in Great River (200),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Shade-slayer,5,-,Defeat Shades in Great River (100),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Shade-slayer (advanced),10,Honesty,Defeat Shades in Great River (200),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Spider-slayer,5,-,Defeat Spiders in Great River (60),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Spider-slayer (advanced),10,Fidelity,Defeat Spiders in Great River (120),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Titan-slayer,5,-,Defeat (Elite Master or Nemesis) monsters in Limlight Gorge (30),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Titan-slayer (advanced),10,Patience,Defeat (Elite Master or Nemesis) monsters in Limlight Gorge (60),,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,M,Saviour of the Roots of Fangorn (Discovery req),15,-,Complete 3 deeds in Roots of Fangorn instance,Waldengard,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Roots of Fangorn: Slaves of the Spider Queen,15,-,Defeat Frushkul in Roots of Fangorn,,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,S,Roots of Fangorn: Defeat Gurthul,15,-,Defeat Gurthul in Roots of Fangorn,Slayer of Gurthul,,
Rhovanion,Great River,Riders of Stangard / Heroes of Limlight Gorge,C,Roots of Fangorn: Challenge - Green Thumb,-,-,Defeat Gurthul in Tier 2 without allowing roots to be poisoned,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Deeds of the Eastemnet,-,-,Complete 3 meta deeds in Eastemnet,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Quests of the Eastemnet,-,-,Complete 7 quest deeds in Eastemnet,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Explorer of the Eastemnet,-,-,Complete 11 explorer deeds in Eastemnet,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Slayer of the Eastemnet,-,-,Complete 10 slayers deeds in Eastemnet,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Aiding the Eastemnet,-,-,Complete 4 Hytbold deeds,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Hytbold,-,-,Complete 14 Rebuild deeds in Hytbold,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Farmhouses,-,-,Complete 2 Farmhouse deeds,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Houses,-,-,Complete 6 Housing deeds,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Lighting and Fences,-,-,Complete 8 quests,,,
Rhovanion,East Rohan,Men of the Wold/Norcrofts/Sutcrofts/Entwash Vale,M,Tents,-,-,Complete 4 Tents deeds,,,
