Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Skirmishes,Instances,,S,Battle in the Tower,-,,Defeat 8 bosses in the skirmish,Battled in the Tower,65 – Level Cap,
Skirmishes,Instances,,S,Rescue in Nurz Ghashu,-,,Defeat 8 bosses in the skirmish,Rescuer of Nurz Ghashu,65 – Level Cap,
Skirmishes,Instances,,S,Storm of Methedras,-,,Defeat 9 bosses in the skirmish,Defense Against the Shadow,20 – Level Cap,
Skirmishes,Barrow-downs,,S,Foe of the Dead – Small Fellowship,-,,Defeat 100 monsters in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Foe of the Dead – Fellowship,-,,Defeat 100 monsters in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Foe of the Dead – Raid,-,,Defeat 100 monsters in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Foe of the Dark Lord – Small Fellowship,-,,Defeat 25 Lieutenants in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Foe of the Dark Lord – Fellowship,-,,Defeat 25 Lieutenants in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Foe of the Dark Lord – Raid,-,,Defeat 25 Lieutenants in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Assailant of the Dead – Small Fellowship,-,,Defeat 750 monsters in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Assailant of the Dead – Fellowship,-,,Defeat 750 monsters in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Assailant of the Dead – Raid,-,,Defeat 750 monsters in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Assailant of the Dark Lord – Small Fellowship,-,,Defeat 100 Lieutenants in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Assailant of the Dark Lord – Fellowship,-,,Defeat 100 Lieutenants in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Assailant of the Dark Lord – Raid,-,,Defeat 100 Lieutenants in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Adversary of the Dead – Small Fellowship,-,,Defeat 5000 monsters in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Adversary of the Dead – Fellowship,-,,Defeat 5000 monsters in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Adversary of the Dead – Raid,-,,Defeat 5000 monsters in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Adversary of the Dark Lord – Small Fellowship,-,,Defeat 500 Lieutenants in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Adversary of the Dark Lord – Fellowship,-,,Defeat 500 Lieutenants in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Adversary of the Dark Lord – Raid,-,,Defeat 500 Lieutenants in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Bane of the Dead – Small Fellowship,-,,Defeat 10000 monsters in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Bane of the Dead – Fellowship,-,,Defeat 10000 monsters in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Bane of the Dead – Raid,-,,Defeat 10000 monsters in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Bane of the Dark Lord – Small Fellowship,-,,Defeat 1000 Lieutenants in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Bane of the Dark Lord – Fellowship,-,,Defeat 1000 Lieutenants in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Bane of the Dark Lord – Raid,-,,Defeat 1000 Lieutenants in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Defeating the Dead – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Defeating the Dead – Small Fellowship,-,,Defeat 200 monsters in a single instance in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Defeating the Dead – Fellowship,-,,Defeat 200 monsters in a single instance in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Defeating the Dead – Raid,-,,Defeat 200 monsters in a single instance in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Mercy of the Free Peoples – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Mercy of the Free Peoples – Small Fellowship,-,,Survive 30 minutes without killing a lieutenant in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Mercy of the Free Peoples – Fellowship,-,,Survive 30 minutes without killing a lieutenant in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Mercy of the Free Peoples – Raid,-,,Survive 30 minutes without killing a lieutenant in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Pride of Endurance – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Pride of Endurance – Small Fellowship,-,,Survive instance for 30 minutes in Small Fellowship 5 times,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Pride of Endurance – Fellowship,-,,Survive instance for 30 minutes in Fellowship 5 times,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Pride of Endurance – Raid,-,,Survive instance for 30 minutes in Raid 5 times,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Rulers of the Dead – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Rulers of the Dead – Small Fellowship,-,,Defeat 20 Lieutenants in a single instance in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Rulers of the Dead – Fellowship,-,,Defeat 20 Lieutenants in a single instance in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Rulers of the Dead – Raid,-,,Defeat 20 Lieutenants in a single instance in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Simple Skill – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Simple Skill – Small Fellowship,-,,Survive 30 minutes without using Fellowship Maneuvers in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Simple Skill – Fellowship,-,,Survive 30 minutes without using Fellowship Maneuvers in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Simple Skill – Raid,-,,Survive 30 minutes without using Fellowship Maneuvers in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Strength of Diversity – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Strength of Diversity – Small Fellowship,-,,Survive 30 minutes with no duplicate classes in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Strength of Diversity – Fellowship,-,,Survive 30 minutes with no duplicate classes in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Strength of Diversity – Raid,-,,Survive 30 minutes with no duplicate classes in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Strength of Endurance – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Strength of Endurance – Small Fellowship,-,,Survive 30 minutes without failing in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Strength of Endurance – Fellowship,-,,Survive 30 minutes without failing in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Strength of Endurance – Raid,-,,Survive 30 minutes without failing in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Unvanquished – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Unvanquished – Small Fellowship,-,,Survive 30 minutes without any fellow member dying in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Unvanquished – Fellowship,-,,Survive 30 minutes without any fellow member dying in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Unvanquished – Raid,-,,Survive 30 minutes without any fellow member dying in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,I,Weathering the Storm – Complete,-,,"Complete deed in Small Fellowship, Fellowship and Raid",,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Weathering the Storm – Small Fellowship,-,,Survive 30 minutes at level 70 in Small Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Weathering the Storm – Fellowship,-,,Survive 30 minutes at level 70 in Fellowship,,40 – Level Cap,
Skirmishes,Barrow-downs,,S,Weathering the Storm – Raid,-,,Survive 30 minutes at level 70 in Raid,,40 – Level Cap,
Skirmishes,Barrow-downs,,M,Surviving the Night [Hidden],-,,Complete deeds in Barrow-downs (Survival),Survivor of the Barrow-downs,40 – Level Cap,
Skirmishes,Lieutenants,,S,Bearer of Blight Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Bearer of Blight Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Bloodrook-slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Bloodrook-slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Brood Queen Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Brood Queen Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Brother of Destruction Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Brother of Destruction Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Chaos-fiend Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Chaos-fiend Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Courage-breaker Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Courage-breaker Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Crazed Hate-monger Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Crazed Hate-monger Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Daunting Spirit-sapper Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Daunting Spirit-sapper Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Daywalker-berserker Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Daywalker-berserker Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Death-monger Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Death-monger Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Dourhand Keg-master Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Dourhand Keg-master Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Dourhand Storm-keeper Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Dourhand Storm-keeper Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Dreadwing-maruader Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Dreadwing-maruader Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Echo of Death Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Echo of Death Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Emissary of War Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Emissary of War Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Enraged Snapper Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Enraged Snapper Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Enraged Stonecrusher Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Enraged Stonecrusher Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Fellbane Archer Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Fellbane Archer Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Flesh-gorger Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Flesh-gorger Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Forest-born Reaver Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Forest-born Reaver Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Frigid Squall Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Frigid Squall Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Hawk-eyed Harrier Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Hawk-eyed Harrier Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Hulking Pounder Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Hulking Pounder Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Leadfoot Brute Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Leadfoot Brute Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Leech-warden Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Leech-warden Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Pale Trapper Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Pale Trapper Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Priest of Vengeance Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Priest of Vengeance Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Priestess of Flames Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Priestess of Flames Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Primordial Wrath Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Primordial Wrath Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Protector of the Vile Slayer,-,,Defeat 1,,-,
Skirmishes,Lieutenants,,S,Rage of Morgoth Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Rage of Morgoth Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Raging Marauder Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Raging Marauder Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Shephard of Filth Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Shephard of Filth Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Silent Stalker Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Silent Stalker Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Spawn of Angband Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Spawn of Angband Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Tempest of Flame Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Tempest of Flame Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Thunderstone Smasher Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Thunderstone Smasher Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Troll Wound-taker Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Troll Wound-taker Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Venemous Blood-arrow Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Venemous Blood-arrow Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Vile Defender Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Vile Defender Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Will-breaker Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Will-breaker Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Wretched Falconer Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Wretched Falconer Slayer (advanced),-,,Defeat 50,,-,
Skirmishes,Lieutenants,,S,Zealot of Pain Slayer,-,,Defeat 5,,-,
Skirmishes,Lieutenants,,S,Zealot of Pain Slayer (advanced),-,,Defeat 50,,-,
